mip_lower,n
change,10
stability,10
canada,4
cheating,2
common sense,2
help people,2
i love it,2
important,2
le canada,2
nationalism,2
not to answer,2
pay,2
policies,2
relation avec les e u,2
sex,2
stupidity,2
the future,2
uncertainty,2
who gets in,2
123,1
a better way of life,1
a change of govament,1
a complete reversal of the last ten years of utter folly,1
a focus for canada to stand on its own as much as possible,1
a new direction for this country,1
a positive constructive way forward for canada in the current world situation,1
a response to the threats posed by the changing world order,1
abolishing the monarchy,1
access to property,1
affprdable hpusing,1
aider les citoyens,1
ameliorer le mode de vie des canadiens,1
ameliorer les choses,1
an actual plan for moving forward as a country,1
an indian national running in a governmental position,1
apple and more,1
arretez de mentir,1
assurer une balance du pouvoir,1
automie,1
avoiding the orange turnip head to our south,1
avoir un bon dirigeant,1
avoir un parti qui gere bien le pays,1
bad people,1
balance,1
batir un canada uni et fort,1
be convinced,1
being a country,1
being able to read,1
being past over,1
being pr,1
better future,1
bfdh,1
bien choisir,1
big boobies,1
bon,1
bon sens,1
boomers vs jeunes,1
bote,1
bring back the 1980 lifestyle,1
bring canada back to center,1
bring prosperity back to canada,1
bsh,1
bullet points,1
camping for umwanted issues,1
canada as a unique nation,1
canada being a whole,1
canada is not moving forward,1
canada is standing up for itself,1
canada standing up for itself,1
canada staying free,1
canadians,1
canadiens de montreal gagne la coupe stanley,1
canceling c 69,1
capitalism,1
carelessness around envinronmental issues,1
ccc,1
ce que les gens ont a apportes,1
change in canadian system,1
change in meadership,1
change of direction,1
changer de parti au pouvoir,1
changes,1
changing my personal preority from libaral to concervative,1
changing the sides who govern,1
chaque partit a ses gros defaut,1
character,1
choisir une equipe qui pourra gerer notre pays,1
choisir une personne efficace,1
choosing change,1
choosing some for canadians not for the elites,1
citoyen satisfied,1
civility,1
clarity of purpose,1
clear platform stance,1
clintae,1
coat of livng,1
col,1
combattre lextreme droite,1
comment le canada se positionne au niveau internationnal,1
commercial,1
communism,1
communism socialism,1
competence,1
complex,1
compte courant,1
conflicting information and propaganda being abrasive,1
conservators should win,1
conservites do not win,1
consistency,1
continuer de faire ce quil faut pour tous le canadiens,1
contrecarrer les plans diaboliques du clown orange helas,1
contrer la monte de lextreme droite,1
cop increase,1
cosy of iving,1
coubtry,1
coupure subventions,1
covid mistakes,1
crise politique mondiale,1
crisis,1
cub cub case,1
daily expenses,1
davoir un parti qui travaille pour les electeurs,1
de ne pas basculer dans ladroite retrograde,1
de ne pas nous faire reculer de 50 ans,1
de ne pas sombrer encore,1
de savoir qui sera le meilleur,1
dealing with fat orange boy,1
dealing with the orange turd down south,1
decision making,1
decisions that will impact the future generation,1
deecddr,1
defeating rightwing ideologies,1
dei,1
dei propaganda,1
deloger le parti le plus nocif quest connu ce pays,1
demeurer dans le canada,1
dentology,1
desempleo,1
developing our countries resoirces,1
development,1
deviating from the founding principles,1
dff,1
dicijffc,1
difficult to decide,1
disproportionate amount of seats favoring eastern canada,1
djyntndkckc,1
do not,1
doa,1
dont forget,1
douane,1
douanes,1
dump the libs,1
dvfv,1
dzhzdhzdhz,1
e5ko0,1
easy,1
echange commercial mondial,1
echange commerciaux,1
eco,1
