"","male","union_both","party_close"
"1",0,NA,0
"2",0,0,0.5
"3",1,0,0.5
"4",0,NA,0.5
"5",0,NA,1
"6",0,NA,0.5
"7",0,0,1
"8",1,NA,1
"9",0,0,0.5
"10",0,NA,1
"11",1,NA,1
"12",0,1,0.5
"13",1,NA,0.5
"14",0,NA,0
"15",0,NA,0
"16",1,NA,0.5
"17",0,NA,0
"18",0,1,0
"19",1,0,0
"20",1,0,1
"21",0,NA,1
"22",1,NA,1
"23",1,NA,1
"24",0,1,0.5
"25",0,NA,0.5
"26",1,1,0
"27",0,1,0.5
"28",0,1,1
"29",0,NA,0.5
"30",1,NA,0.5
"31",1,NA,0.5
"32",0,1,1
"33",1,0,1
"34",1,NA,NA
"35",1,NA,0.5
"36",0,NA,1
"37",1,NA,0
"38",1,NA,NA
"39",0,0,0.5
"40",1,NA,1
"41",0,NA,1
"42",1,0,1
"43",0,0,NA
"44",0,NA,1
"45",1,NA,1
"46",1,1,0.5
"47",0,NA,0.5
"48",1,0,NA
"49",1,NA,NA
"50",1,NA,0
"51",0,NA,0
"52",0,1,1
"53",1,0,0
"54",0,NA,0.5
"55",1,0,0.5
"56",0,0,1
"57",0,NA,0
"58",0,1,1
"59",1,1,0.5
"60",1,NA,0.5
"61",1,0,0.5
"62",1,NA,1
"63",1,NA,NA
"64",0,0,0.5
"65",1,NA,NA
"66",0,NA,0
"67",0,1,0.5
"68",0,NA,0.5
"69",0,NA,0.5
"70",1,NA,0.5
"71",1,NA,0.5
"72",1,NA,0
"73",0,0,1
"74",1,NA,1
"75",1,NA,NA
"76",0,NA,0.5
"77",0,NA,0.5
"78",0,0,0
"79",0,NA,1
"80",1,0,0.5
"81",1,0,0.5
"82",1,0,0
"83",1,0,NA
"84",1,NA,1
"85",0,0,NA
"86",1,NA,0
"87",0,NA,1
"88",1,NA,0.5
"89",0,1,0.5
"90",0,1,NA
"91",0,0,1
"92",0,1,1
"93",0,1,0
"94",1,0,0
"95",1,NA,1
"96",0,1,0.5
"97",0,NA,1
"98",0,1,1
"99",0,1,0
"100",1,NA,1
"101",0,0,0
"102",0,1,0.5
"103",1,1,1
"104",0,1,0.5
"105",1,NA,1
"106",0,NA,0.5
"107",0,0,1
"108",0,NA,0.5
"109",1,NA,0.5
"110",0,NA,1
"111",1,0,NA
"112",0,NA,NA
"113",0,NA,NA
"114",0,NA,1
"115",1,NA,1
"116",0,NA,0
"117",0,NA,NA
"118",0,0,NA
"119",1,NA,NA
"120",0,1,0.5
"121",1,NA,NA
"122",0,NA,NA
"123",1,NA,0.5
"124",1,NA,1
"125",1,NA,1
"126",1,0,NA
"127",1,NA,0.5
"128",1,NA,1
"129",1,NA,NA
"130",0,NA,1
"131",1,NA,1
"132",0,NA,NA
"133",1,NA,1
"134",1,NA,0
"135",1,NA,0.5
"136",1,1,0.5
"137",1,1,NA
"138",1,NA,1
"139",1,NA,0.5
"140",1,NA,0.5
"141",1,NA,0.5
"142",1,NA,NA
"143",0,NA,NA
"144",1,NA,NA
"145",1,NA,0
"146",0,NA,0.5
"147",0,NA,0.5
"148",1,0,0.5
"149",0,1,1
"150",0,0,1
"151",1,1,NA
"152",0,NA,0
"153",1,0,NA
"154",0,NA,1
"155",0,NA,0.5
"156",1,NA,0
"157",0,NA,0.5
"158",1,0,NA
"159",0,0,1
"160",0,NA,1
"161",1,0,0.5
"162",1,NA,0.5
"163",0,0,0.5
"164",0,0,0.5
"165",0,1,0.5
"166",0,NA,0.5
"167",1,0,0.5
"168",1,0,0.5
"169",1,0,1
"170",0,NA,0.5
"171",0,NA,0.5
"172",1,1,0
"173",1,NA,1
"174",1,NA,1
"175",0,0,0
"176",1,NA,1
"177",0,NA,1
"178",1,NA,1
"179",0,NA,1
"180",0,NA,0
"181",1,NA,0.5
"182",0,NA,0.5
"183",1,0,NA
"184",0,NA,0
"185",0,NA,NA
"186",1,NA,NA
"187",0,NA,NA
"188",1,NA,0.5
"189",0,NA,0
"190",0,0,1
"191",1,0,NA
"192",1,1,0.5
"193",1,1,0.5
"194",0,NA,0.5
"195",1,NA,0.5
"196",0,NA,0.5
"197",0,NA,0.5
"198",0,NA,1
"199",0,NA,0.5
"200",1,NA,0.5
"201",0,0,0.5
"202",0,NA,0.5
"203",0,1,0.5
"204",0,1,0.5
"205",1,NA,1
"206",0,1,0.5
"207",0,0,0
"208",0,NA,1
"209",0,0,0.5
"210",1,NA,0.5
"211",1,NA,0
"212",1,1,NA
"213",0,1,1
"214",0,0,0.5
"215",0,NA,1
"216",1,0,0.5
"217",0,0,0
"218",0,0,0.5
"219",1,0,NA
"220",0,NA,1
"221",0,NA,0.5
"222",0,NA,1
"223",0,NA,0.5
"224",0,NA,0.5
"225",0,NA,0.5
"226",0,0,NA
"227",0,NA,0.5
"228",1,NA,1
"229",0,NA,1
"230",0,NA,NA
"231",0,NA,1
"232",1,1,NA
"233",0,NA,NA
"234",1,NA,NA
"235",1,0,NA
"236",0,NA,1
"237",1,NA,1
"238",0,1,1
"239",1,NA,1
"240",0,NA,0.5
"241",0,0,NA
"242",0,NA,NA
"243",0,1,0
"244",0,0,NA
"245",1,0,0.5
"246",1,1,1
"247",0,1,NA
"248",0,1,NA
"249",0,0,0.5
"250",1,NA,0
"251",1,1,1
"252",0,1,NA
"253",0,NA,1
"254",0,0,1
"255",0,1,0
"256",0,NA,0.5
"257",1,NA,NA
"258",1,0,NA
"259",1,NA,NA
"260",1,0,1
"261",1,0,NA
"262",0,NA,0.5
"263",1,0,NA
"264",0,0,1
"265",0,NA,NA
"266",1,0,NA
"267",1,1,NA
"268",0,0,0.5
"269",1,0,NA
"270",0,1,0.5
"271",1,NA,NA
"272",0,NA,1
"273",1,NA,NA
"274",1,NA,NA
"275",0,NA,0.5
"276",0,NA,0.5
"277",1,0,NA
"278",1,NA,0.5
"279",1,1,NA
"280",0,NA,1
"281",0,1,0
"282",1,1,0
"283",1,NA,0
"284",1,1,0.5
"285",1,NA,0
"286",1,NA,0.5
"287",1,0,0
"288",1,NA,0.5
"289",0,NA,0.5
"290",0,NA,NA
"291",1,1,1
"292",1,0,0.5
"293",1,NA,1
"294",0,NA,0
"295",0,NA,NA
"296",1,NA,0.5
"297",0,1,NA
"298",0,NA,0.5
"299",0,1,0.5
"300",1,1,0
"301",1,NA,0.5
"302",1,NA,0.5
"303",0,NA,NA
"304",0,1,0
"305",0,NA,0.5
"306",0,1,0.5
"307",1,0,0.5
"308",0,1,0.5
"309",1,NA,0
"310",1,NA,0.5
"311",0,NA,NA
"312",1,1,0.5
"313",1,1,1
"314",0,NA,1
"315",0,NA,NA
"316",1,0,NA
"317",1,NA,NA
"318",0,1,0.5
"319",1,1,NA
"320",0,1,NA
"321",0,NA,NA
"322",0,0,NA
"323",0,1,NA
"324",0,0,NA
"325",0,0,NA
"326",0,1,0
"327",1,0,NA
"328",0,NA,NA
"329",1,NA,NA
"330",1,NA,NA
"331",0,NA,1
"332",1,1,NA
"333",1,1,NA
