"","mip_lower","n"
"1","getting rid of trudeau",46
"2","leadership",31
"3","get rid of trudeau",22
"4","getting trudeau out",9
"5","sortir trudeau",9
"6","trudeau",8
"7","change",7
"8","changer de gouvernement",6
"9","getting rid of justin trudeau",6
"10","getting trudeau out of office",5
"11","to get trudeau out",5
"12","tout",5
"13","unity",5
"14","getting trudeau out of power",4
"15","justin trudeau",4
"16","to get rid of trudeau",4
"17","get rid of justin trudeau",3
"18","get trudeau out",3
"19","la vie",3
"20","removing trudeau",3
"21","too early",3
"22","all",2
"23","all of them",2
"24","avenir",2
"25","change of leadership",2
"26","changer de premier ministre",2
"27","changing government",2
"28","competence",2
"29","continuity",2
"30","dumping trudeau",2
"31","family",2
"32","getting a new prime minister",2
"33","getting rid of trudeau.",2
"34","getting rid of trudope",2
"35","government",2
"36","government overreach",2
"37","identité",2
"38","inutile",2
"39","jsp",2
"40","lack of leadership",2
"41","le bien être des gens",2
"42","les lois",2
"43","less government",2
"44","se débarasser de trudeau",2
"45","se débarrasser de justin trudeau",2
"46","sortir justin trudeau",2
"47","support",2
"48","the best for the country",2
"49","too many",2
"50","too many issues",2
"51","too soon",2
"52","unnecessary",2
"53","very",2
"54","why it was called in the first place",2
"55","a beneficial leader",1
"56","a few",1
"57","a government that governs for all cdns not just a few",1
"58","a new government",1
"59","a new pm",1
"60","a well run government without all the bickering. get on with running the country.",1
"61","aide à mourir et soins de fin de vie",1
"62","all incompetent leaders",1
"63","appui à la laïcité",1
"64","authenticity",1
"65","autonomy",1
"66","bad",1
"67","bad timing, expensive and useless",1
"68","balance",1
"69","balanced perspective",1
"70","battre justin trudeau",1
"71","battre trudeau",1
"72","better government for the people",1
"73","better leadership",1
"74","bien etre",1
"75","bien gouverner",1
"76","bien vivre",1
"77","blanchard",1
"78","bnm,bm",1
"79","bon premuer ministre",1
"80","bonne gestion",1
"81","bring back hitler",1
"82","caring for others",1
"83","caring governing party",1
"84","censure",1
"85","champs de compétence",1
"86","chance of gouvernement",1
"87","change !",1
"88","change in leadership",1
"89","change of government as i think trudeau have had too many issues with his leadership.",1
"90","change of prime minister",1
"91","changer le gouvernement en place",1
"92","changer le premier ministre",1
"93","changer les choses",1
"94","changer pour mieux",1
"95","changer trudeau",1
"96","chercher un bon administrateur pour le pays.",1
"97","choisir le bon premier ministre",1
"98","choose the right people",1
"99","choosing the right person",1
"100","chrisser l'incompétence a justin trudeau déhors",1
"101","citoyens",1
"102","clarté",1
"103","commitment",1
"104","competence in government",1
"105","competence of leadership",1
"106","competent government",1
"107","confiance",1
"108","confiance en la science pour prendre des décisions et gouverner",1
"109","continuité",1
"110","cpe",1
"111","criticisms",1
"112","d'arreter de penser jusye a soit mene et penser au autre",1
"113","de detroner justin trudeau",1
"114","de nouveau programme",1
"115","de servir le peuple",1
"116","debarquer le clow qui est en poste",1
"117","defacid",1
"118","ditch trudeau",1
"119","doing what the people want",1
"120","dump trudeau",1
"121","débarquer justin",1
"122","débarquer trudeau",1
"123","déloger justin trudeau",1
"124","echo systeme",1
"125","efficiency of government",1
"126","egocentricite",1
"127","fake",1
"128","firering trudeau",1
"129","firing trudeau",1
"130","ford goes to jail",1
"131","former un gouvernent responsable.",1
"132","free loaders",1
"133","free to choose",1
"134","full government",1
"135","g7",1
"136","ge7 rid of 7rudope!",1
"137","gerance du pays",1
"138","gestion de crise",1
"139","gestion de la crise",1
"140","get justin trudeau out",1
"141","get rid of justen",1
"142","get rid of justin t",1
"143","get rid of the boy prime minister",1
"144","get rid of the moron in charge",1
"145","get rid of the prime minister befor he ruins this country",1
"146","get rid of this moron disaster that is justin trudeau!  what a fucking idiot.",1
"147","get rid of trudeau before he destroys the country with his stupidity",1
"148","get rid of trudeau, he’s a smug piece of shit",1
"149","get rid of trudoh",1
"150","get rid of truedo",1
"151","get rid of viris",1
"152","get trudeau out of office",1
"153","get trudeau out of power",1
"154","get trudeau out!!!",1
"155","get trudeau the fuck out of there",1
"156","get trudy out of office",1
"157","geting rid of trudeau",1
"158","getting a change in groverment",1
"159","getting a new government with better direction.",1
"160","getting a new pm",1
"161","getting a new pm.",1
"162","getting back to normal as we know it",1
"163","getting it over",1
"164","getting new blood in",1
"165","getting rid of justin",1
"166","getting rid of justin t",1
"167","getting rid of justin trudea",1
"168","getting rid of justin trudeau.",1
"169","getting rid of justin.",1
"170","getting rid of justine trudeau",1
"171","getting rid of lyeberals",1
"172","getting rid of mr selfie !!!!!!!",1
"173","getting rid of mr trudeau",1
"174","getting rid of mr. trudeau",1
"175","getting rid of our prime minister.",1
"176","getting rid of the handpuppet,trudeau",1
"177","getting rid of the trudeau government",1
"178","getting rid of this prime minister",1
"179","getting rid of trudeau who is ruining this country",1
"180","getting rid of trudeau!",1
"181","getting rid of trudough",1
"182","getting rid of truedough",1
"183","getting rid of turdeau ... flush the turd.",1
"184","getting rid of tyrant leaders",1
"185","getting rid of zjustin trudeau",1
"186","getting rif of trudeau",1
"187","getting trudeau out of government",1
"188","getting trudeau out of the office",1
"189","getting trudeau out!!!",1
"190","getting trudeu out",1
"191","gettingtrudeau out",1
"192","goof",1
"193","government functioning efficiently",1
"194","government over reach",1
"195","government tyranny",1
"196","greed",1
"197","gtv rid of justin the drama queen",1
"198","having a competent government",1
"199","having a prime minister who knows what he is doing!",1
"200","having an adult as prime minister",1
"201","help for our own",1
"202","helping citizen",1
"203","herman",1
"204","hope the party will win will be the right one",1
"205","how they ruled country",1
"206","how we are treated in general",1
"207","i do not have one in particular",1
"208","i dont think his the right person",1
"209","i hate all governments",1
"210","i think it was not neccary to have it in the first place",1
"211","i will be able to chose my leader to represent my needs",1
"212","i wish trudeau would leave",1
"213","il aurait pus attendre encore un ans",1
"214","il faudrait qu'il soit plus fort",1
"215","il y en a plusieurs",1
"216","ineffective gov't",1
"217","ingerence des competences",1
"218","insecurities",1
"219","irresponsible leadership",1
"220","it is time for change",1
"221","it sure",1
"222","it was held early due to some reasons.",1
"223","it was not required",1
"224","its too early",1
"225","it’s hard to choose just one",1
"226","it’s really interesting.",1
"227","justin",1
"228","justin is a fuckimg bird bitch. he castro son he communist piece of shit",1
"229","justin trudeau est un malaise intense",1
"230","justin trudeau gets replaced",1
"231","justin trudeau's power grab",1
