mip_lower,n
economy,946
climate change,901
covid,674
health care,641
environnement,590
healthcare,511
taxes,303
housing,288
économie,250
environment,242
santé,240
the economy,229
la santé,226
affordable housing,217
cost of living,217
covid-19,195
l'environnement,170
covid 19,161
-99,135
health,122
economie,115
immigration,114
economic recovery,102
l’environnement,97
education,95
l'économie,94
pandemic,93
housing affordability,92
jobs,86
climate,78
nothing,78
affordability,76
budget,67
honesty,64
debt,63
poverty,63
deficit,61
changement climatique,60
childcare,60
l’économie,57
the environment,56
not sure,54
pandémie,54
covid response,52
sante,52
freedom,51
les changements climatiques,51
la dette,48
covid recovery,46
getting rid of trudeau,46
covid19,45
employment,45
child care,42
la pandémie,42
homelessness,39
seniors,39
finance,35
equality,34
global warming,34
money,34
inflation,33
none,33
finances,32
tax,32
changements climatiques,31
housing prices,31
leadership,31
fiscal responsibility,29
integrity,29
the pandemic,29
climat,28
climate crisis,28
vaccine passports,28
crime,27
je ne sais pas,27
senior care,27
aucun,26
economic,26
mental health,26
electoral reform,25
dette,24
ethics,24
housing crisis,24
human rights,24
income inequality,24
indigenous rights,24
transparency,24
national debt,23
accountability,22
get rid of trudeau,22
la covid,22
le climat,22
the deficit,22
universal basic income,22
environmental issues,21
la sante,21
les finances,21
n/a,21
pharmacare,21
relance économique,21
federal debt,20
housing costs,20
pandemie,20
gestion de la pandémie,19
government spending,19
i don’t know,19
unemployment,19
corruption,18
pandemic recovery,18
racism,18
economics,17
indigenous issues,17
government debt,16
la relance économique,16
lower taxes,16
réchauffement climatique,16
economy recovery,15
gun control,15
idk,15
reprise économique,15
truth,15
job security,14
la gestion de la pandémie,14
pandemic response,14
taxation,14
trust,14
vaccine mandates,14
balancing the budget,13
long term care,13
na,13
vaccines,13
éducation,13
climate control,12
environmental,12
freedom of choice,12
reconciliation,12
rien,12
spending,12
the debt,12
unsure,12
aucune idée,11
climate action,11
covid-19 response,11
environement,11
good,11
housing market,11
i don't know,11
je sais pas,11
job,11
les finances publiques,11
no,11
student loans,11
système de santé,11
affordable living,10
corona,10
coronavirus,10
covid 19 recovery,10
covid management,10
don't know,10
don’t know,10
déficit,10
emploi,10
finances publiques,10
high taxes,10
la pandemie,10
le covid,10
le système de santé,10
no comment,10
no issue,10
senior health care,10
student debt,10
the climate crisis,10
vaccine,10
vaccine passport,10
basic income,9
climate emergency,9
getting rid of the liberals,9
getting trudeau out,9
indigenous reconciliation,9
inequality,9
la pauvreté,9
logement,9
lowering taxes,9
seniors issues,9
sortir trudeau,9
the cost of living,9
vaccination,9
wages,9
wealth inequality,9
?,8
covid pandemic,8
crise climatique,8
economic stability,8
endettement,8
government corruption,8
health system,8
heath care,8
l'economie,8
le budget,8
le changement climatique,8
le déficit,8
le réchauffement climatique,8
passeport vaccinal,8
proportional representation,8
public health,8
trudeau,8
.,7
aucune,7
change,7
covid-19 recovery,7
daycare,7
democracy,7
economy and jobs,7
financial,7
getting covid under control,7
job creation,7
l'immigration,7
la covid-19,7
la reprise économique,7
la vaccination,7
le français,7
le pouvoir,7
les soins de santé,7
liberté,7
l’economie,7
medical,7
respect des compétences provinciales,7
safety,7
senior issues,7
seniors care,7
social issues,7
social justice,7
social services,7
taxing the rich,7
the federal debt,7
ubi,7
un gouvernement majoritaire,7
écologie,7
avoir un gouvernement majoritaire,6
avoir un gouvernement minoritaire,6
changer de gouvernement,6
cost of living/housing,6
covid control,6
covid vaccinations,6
deficits,6
ending the pandemic,6
everything,6
fairness,6
finance publique,6
firearms,6
freedom of speech,6
getting rid of justin trudeau,6
gouvernement majoritaire,6
health care for seniors,6
heathcare,6
honestly,6
income,6
income tax,6
indigenous affairs,6
job opportunities,6
l économie,6
l'indépendance du québec,6
le coût de la vie,6
pension,6
pensions,6
rights and freedoms,6
senior benefits,6
soins de santé,6
stop immigration,6
tax the rich,6
the budget,6
vaccine mandate,6
économie et environnement,6
argent,5
aucune idee,5
autonomie des provinces,5
canadian economy,5
controlling covid,5
country debt,5
covid policies,5
covid policy,5
covid restrictions,5
dealing with covid,5
dealing with covid-19,5
economic recovery from the pandemic,5
economy and taxes,5
enviroment,5
environment/climate change,5
environmental protection,5
equity,5
fair,5
garderie,5
gestion covid,5
gestion de la crise sanitaire,5
getting through the pandemic,5
getting trudeau out of office,5
help for seniors,5
high cost of living,5
house prices,5
income equality,5
indigenous,5
indigenous relations,5
individual rights,5
l economie,5
l environnement,5
la crise climatique,5
la dette du canada,5
la gestion de la covid,5
la langue française,5
la liberté,5
le québec,5
le respect des compétences provinciales,5
mandatory vaccines,5
personal freedom,5
pipelines,5
poverty and homelessness,5
recovery from covid,5
recovery from the pandemic,5
relance economique,5
rising cost of living,5
seniors benefits,5
to get trudeau out,5
tout,5
transferts en santé,5
unity,5
who is going to win the election,5
abortion,4
addressing climate change,4
balance budget,4
canada's debt,4
care for seniors,4
china,4
climate change/environment,4
cost of housing,4
covid 19 pandemic,4
covid crisis,4
covid measures,4
covid passports,4
covid regulations,4
debt management,4
dont know,4
ecologie,4
economic growth,4
economic inequality,4
economic recovery from covid,4
economic recovery from pandemic,4
economic recovery post covid,4
economy and cost of living,4
election reform,4
environment and climate change,4
environmental sustainability,4
environnement et changements climatiques,4
ethics in government,4
fair elections,4
famille,4
federal deficit,4
financial security,4
freedom of rights,4
getting the economy back on track,4
getting trudeau out of power,4
handling of the pandemic,4
health and safety,4
health care and taxes,4
health care funding,4
health issues,4
honest government,4
inmigrations,4
integrity of elected officials,4
justice,4
justin trudeau,4
l'environement,4
l'éducation,4
la transparence,4
la vaccination obligatoire,4
leconomie,4
les personnes âgées,4
les transferts en santé,4
