FED,Province_Territory,All_Households,Avg_Income,Median_Income,SE_Avg_Income,Income,Count,right_edges,fit,warn,gini,fed_avg_income,fed_median_income
Bonavista-Trinity-Conception,Newfoundland,20700,17227,14622,172,Under_5000,2190,5000,,FALSE,0.37055386825917325,17227,14622
Bonavista-Trinity-Conception,Newfoundland,20700,17227,14622,172,X5000_9999,4415,9999,,FALSE,0.37055386825917325,17227,14622
Bonavista-Trinity-Conception,Newfoundland,20700,17227,14622,172,X10000_14999,4020,14999,,FALSE,0.37055386825917325,17227,14622
Bonavista-Trinity-Conception,Newfoundland,20700,17227,14622,172,X15000_19999,3340,19999,,FALSE,0.37055386825917325,17227,14622
Bonavista-Trinity-Conception,Newfoundland,20700,17227,14622,172,X20000_24999,2650,24999,,FALSE,0.37055386825917325,17227,14622
Bonavista-Trinity-Conception,Newfoundland,20700,17227,14622,172,X25000_29999,1540,29999,,FALSE,0.37055386825917325,17227,14622
Bonavista-Trinity-Conception,Newfoundland,20700,17227,14622,172,X30000_39999,1555,39999,,FALSE,0.37055386825917325,17227,14622
Bonavista-Trinity-Conception,Newfoundland,20700,17227,14622,172,X40000_and_over,985,Inf,,FALSE,0.37055386825917325,17227,14622
Burin-St. George's (Saint-Georges),Newfoundland,15745,18649,16956,205,Under_5000,1325,5000,,FALSE,0.3426129830798167,18649,16956
Burin-St. George's (Saint-Georges),Newfoundland,15745,18649,16956,205,X5000_9999,2775,9999,,FALSE,0.3426129830798167,18649,16956
Burin-St. George's (Saint-Georges),Newfoundland,15745,18649,16956,205,X10000_14999,2615,14999,,FALSE,0.3426129830798167,18649,16956
Burin-St. George's (Saint-Georges),Newfoundland,15745,18649,16956,205,X15000_19999,2945,19999,,FALSE,0.3426129830798167,18649,16956
Burin-St. George's (Saint-Georges),Newfoundland,15745,18649,16956,205,X20000_24999,2395,24999,,FALSE,0.3426129830798167,18649,16956
Burin-St. George's (Saint-Georges),Newfoundland,15745,18649,16956,205,X25000_29999,1435,29999,,FALSE,0.3426129830798167,18649,16956
Burin-St. George's (Saint-Georges),Newfoundland,15745,18649,16956,205,X30000_39999,1515,39999,,FALSE,0.3426129830798167,18649,16956
Burin-St. George's (Saint-Georges),Newfoundland,15745,18649,16956,205,X40000_and_over,750,Inf,,FALSE,0.3426129830798167,18649,16956
Gander-Twillingate,Newfoundland,20045,18301,15511,177,Under_5000,1665,5000,,FALSE,0.3553279385052708,18301,15511
Gander-Twillingate,Newfoundland,20045,18301,15511,177,X5000_9999,3945,9999,,FALSE,0.3553279385052708,18301,15511
Gander-Twillingate,Newfoundland,20045,18301,15511,177,X10000_14999,3665,14999,,FALSE,0.3553279385052708,18301,15511
Gander-Twillingate,Newfoundland,20045,18301,15511,177,X15000_19999,3515,19999,,FALSE,0.3553279385052708,18301,15511
Gander-Twillingate,Newfoundland,20045,18301,15511,177,X20000_24999,2510,24999,,FALSE,0.3553279385052708,18301,15511
Gander-Twillingate,Newfoundland,20045,18301,15511,177,X25000_29999,1745,29999,,FALSE,0.3553279385052708,18301,15511
Gander-Twillingate,Newfoundland,20045,18301,15511,177,X30000_39999,1795,39999,,FALSE,0.3553279385052708,18301,15511
Gander-Twillingate,Newfoundland,20045,18301,15511,177,X40000_and_over,1100,Inf,,FALSE,0.3553279385052708,18301,15511
Grand Falls-White Bay-Labrador,Newfoundland,19635,23938,20417,220,Under_5000,1115,5000,,FALSE,0.32588835761658186,23938,20417
Grand Falls-White Bay-Labrador,Newfoundland,19635,23938,20417,220,X5000_9999,2050,9999,,FALSE,0.32588835761658186,23938,20417
Grand Falls-White Bay-Labrador,Newfoundland,19635,23938,20417,220,X10000_14999,2540,14999,,FALSE,0.32588835761658186,23938,20417
Grand Falls-White Bay-Labrador,Newfoundland,19635,23938,20417,220,X15000_19999,2870,19999,,FALSE,0.32588835761658186,23938,20417
Grand Falls-White Bay-Labrador,Newfoundland,19635,23938,20417,220,X20000_24999,2775,24999,,FALSE,0.32588835761658186,23938,20417
Grand Falls-White Bay-Labrador,Newfoundland,19635,23938,20417,220,X25000_29999,3055,29999,,FALSE,0.32588835761658186,23938,20417
Grand Falls-White Bay-Labrador,Newfoundland,19635,23938,20417,220,X30000_39999,2365,39999,,FALSE,0.32588835761658186,23938,20417
Grand Falls-White Bay-Labrador,Newfoundland,19635,23938,20417,220,X40000_and_over,2838,Inf,,FALSE,0.32588835761658186,23938,20417
Humber-Port au Port-St. Barbe (Sainte-Barbe),Newfoundland,20510,20417,18081,205,Under_5000,1990,5000,,FALSE,0.41186140598032084,20417,18081
Humber-Port au Port-St. Barbe (Sainte-Barbe),Newfoundland,20510,20417,18081,205,X5000_9999,3185,9999,,FALSE,0.41186140598032084,20417,18081
Humber-Port au Port-St. Barbe (Sainte-Barbe),Newfoundland,20510,20417,18081,205,X10000_14999,3220,14999,,FALSE,0.41186140598032084,20417,18081
Humber-Port au Port-St. Barbe (Sainte-Barbe),Newfoundland,20510,20417,18081,205,X15000_19999,2800,19999,,FALSE,0.41186140598032084,20417,18081
Humber-Port au Port-St. Barbe (Sainte-Barbe),Newfoundland,20510,20417,18081,205,X20000_24999,2235,24999,,FALSE,0.41186140598032084,20417,18081
Humber-Port au Port-St. Barbe (Sainte-Barbe),Newfoundland,20510,20417,18081,205,X25000_29999,2475,29999,,FALSE,0.41186140598032084,20417,18081
Humber-Port au Port-St. Barbe (Sainte-Barbe),Newfoundland,20510,20417,18081,205,X30000_39999,1665,39999,,FALSE,0.41186140598032084,20417,18081
Humber-Port au Port-St. Barbe (Sainte-Barbe),Newfoundland,20510,20417,18081,205,X40000_and_over,1115,Inf,,FALSE,0.41186140598032084,20417,18081
St. John's East (Saint-Jean-Est),Newfoundland,25670,25065,21918,248,Under_5000,2320,5000,,FALSE,0.377272543111854,25065,21918
St. John's East (Saint-Jean-Est),Newfoundland,25670,25065,21918,248,X5000_9999,3035,9999,,FALSE,0.377272543111854,25065,21918
St. John's East (Saint-Jean-Est),Newfoundland,25670,25065,21918,248,X10000_14999,3095,14999,,FALSE,0.377272543111854,25065,21918
St. John's East (Saint-Jean-Est),Newfoundland,25670,25065,21918,248,X15000_19999,3785,19999,,FALSE,0.377272543111854,25065,21918
St. John's East (Saint-Jean-Est),Newfoundland,25670,25065,21918,248,X20000_24999,5235,24999,,FALSE,0.377272543111854,25065,21918
St. John's East (Saint-Jean-Est),Newfoundland,25670,25065,21918,248,X25000_29999,2800,29999,,FALSE,0.377272543111854,25065,21918
St. John's East (Saint-Jean-Est),Newfoundland,25670,25065,21918,248,X30000_39999,3945,39999,,FALSE,0.377272543111854,25065,21918
St. John's East (Saint-Jean-Est),Newfoundland,25670,25065,21918,248,X40000_and_over,3995,Inf,,FALSE,0.377272543111854,25065,21918
St. John's West (Saint-Jean-Ouest),Newfoundland,26115,22861,20728,201,Under_5000,2140,5000,,FALSE,0.3457889982766511,22861,20728
St. John's West (Saint-Jean-Ouest),Newfoundland,26115,22861,20728,201,X5000_9999,3195,9999,,FALSE,0.3457889982766511,22861,20728
St. John's West (Saint-Jean-Ouest),Newfoundland,26115,22861,20728,201,X10000_14999,3485,14999,,FALSE,0.3457889982766511,22861,20728
St. John's West (Saint-Jean-Ouest),Newfoundland,26115,22861,20728,201,X15000_19999,3785,19999,,FALSE,0.3457889982766511,22861,20728
St. John's West (Saint-Jean-Ouest),Newfoundland,26115,22861,20728,201,X20000_24999,5120,24999,,FALSE,0.3457889982766511,22861,20728
St. John's West (Saint-Jean-Ouest),Newfoundland,26115,22861,20728,201,X25000_29999,3080,29999,,FALSE,0.3457889982766511,22861,20728
St. John's West (Saint-Jean-Ouest),Newfoundland,26115,22861,20728,201,X30000_39999,3980,39999,,FALSE,0.3457889982766511,22861,20728
St. John's West (Saint-Jean-Ouest),Newfoundland,26115,22861,20728,201,X40000_and_over,2840,Inf,,FALSE,0.3457889982766511,22861,20728
Cardigan,PEI,9350,18721,16130,279,Under_5000,855,5000,,FALSE,0.3598121733881029,18721,16130
Cardigan,PEI,9350,18721,16130,279,X5000_9999,1700,9999,,FALSE,0.3598121733881029,18721,16130
Cardigan,PEI,9350,18721,16130,279,X10000_14999,1765,14999,,FALSE,0.3598121733881029,18721,16130
Cardigan,PEI,9350,18721,16130,279,X15000_19999,1430,19999,,FALSE,0.3598121733881029,18721,16130
Cardigan,PEI,9350,18721,16130,279,X20000_24999,1130,24999,,FALSE,0.3598121733881029,18721,16130
Cardigan,PEI,9350,18721,16130,279,X25000_29999,985,29999,,FALSE,0.3598121733881029,18721,16130
Cardigan,PEI,9350,18721,16130,279,X30000_39999,930,39999,,FALSE,0.3598121733881029,18721,16130
Cardigan,PEI,9350,18721,16130,279,X40000_and_over,550,Inf,,FALSE,0.3598121733881029,18721,16130
Egmont,PEI,9055,17866,14434,319,Under_5000,925,5000,,FALSE,0.3865005101601633,17866,14434
Egmont,PEI,9055,17866,14434,319,X5000_9999,1960,9999,,FALSE,0.3865005101601633,17866,14434
Egmont,PEI,9055,17866,14434,319,X10000_14999,1805,14999,,FALSE,0.3865005101601633,17866,14434
Egmont,PEI,9055,17866,14434,319,X15000_19999,1385,19999,,FALSE,0.3865005101601633,17866,14434
Egmont,PEI,9055,17866,14434,319,X20000_24999,995,24999,,FALSE,0.3865005101601633,17866,14434
Egmont,PEI,9055,17866,14434,319,X25000_29999,720,29999,,FALSE,0.3865005101601633,17866,14434
Egmont,PEI,9055,17866,14434,319,X30000_39999,775,39999,,FALSE,0.3865005101601633,17866,14434
Egmont,PEI,9055,17866,14434,319,X40000_and_over,485,Inf,,FALSE,0.3865005101601633,17866,14434
Hillsborough,PEI,9460,20968,17294,341,Under_5000,925,5000,,FALSE,0.39436590050504405,20968,17294
Hillsborough,PEI,9460,20968,17294,341,X5000_9999,1630,9999,,FALSE,0.39436590050504405,20968,17294
Hillsborough,PEI,9460,20968,17294,341,X10000_14999,1525,14999,,FALSE,0.39436590050504405,20968,17294
Hillsborough,PEI,9460,20968,17294,341,X15000_19999,1320,19999,,FALSE,0.39436590050504405,20968,17294
Hillsborough,PEI,9460,20968,17294,341,X20000_24999,1080,24999,,FALSE,0.39436590050504405,20968,17294
Hillsborough,PEI,9460,20968,17294,341,X25000_29999,995,29999,,FALSE,0.39436590050504405,20968,17294
Hillsborough,PEI,9460,20968,17294,341,X30000_39999,1005,39999,,FALSE,0.39436590050504405,20968,17294
Hillsborough,PEI,9460,20968,17294,341,X40000_and_over,985,Inf,,FALSE,0.39436590050504405,20968,17294
Malpeque,PEI,9795,19711,17669,285,Under_5000,755,5000,,FALSE,0.3509994060675241,19711,17669
Malpeque,PEI,9795,19711,17669,285,X5000_9999,1630,9999,,FALSE,0.3509994060675241,19711,17669
Malpeque,PEI,9795,19711,17669,285,X10000_14999,1655,14999,,FALSE,0.3509994060675241,19711,17669
Malpeque,PEI,9795,19711,17669,285,X15000_19999,1740,19999,,FALSE,0.3509994060675241,19711,17669
Malpeque,PEI,9795,19711,17669,285,X20000_24999,1390,24999,,FALSE,0.3509994060675241,19711,17669
Malpeque,PEI,9795,19711,17669,285,X25000_29999,950,29999,,FALSE,0.3509994060675241,19711,17669
Malpeque,PEI,9795,19711,17669,285,X30000_39999,1105,39999,,FALSE,0.3509994060675241,19711,17669
Malpeque,PEI,9795,19711,17669,285,X40000_and_over,580,Inf,,FALSE,0.3509994060675241,19711,17669
Annapolis Valley-Hants,Nova Scotia,26600,18554,16352,167,Under_5000,2650,5000,,FALSE,0.3825273460264599,18554,16352
Annapolis Valley-Hants,Nova Scotia,26600,18554,16352,167,X5000_9999,4925,9999,,FALSE,0.3825273460264599,18554,16352
Annapolis Valley-Hants,Nova Scotia,26600,18554,16352,167,X10000_14999,4925,14999,,FALSE,0.3825273460264599,18554,16352
Annapolis Valley-Hants,Nova Scotia,26600,18554,16352,167,X15000_19999,4610,19999,,FALSE,0.3825273460264599,18554,16352
Annapolis Valley-Hants,Nova Scotia,26600,18554,16352,167,X20000_24999,3500,24999,,FALSE,0.3825273460264599,18554,16352
Annapolis Valley-Hants,Nova Scotia,26600,18554,16352,167,X25000_29999,2405,29999,,FALSE,0.3825273460264599,18554,16352
Annapolis Valley-Hants,Nova Scotia,26600,18554,16352,167,X30000_39999,1870,39999,,FALSE,0.3825273460264599,18554,16352
Annapolis Valley-Hants,Nova Scotia,26600,18554,16352,167,X40000_and_over,1470,Inf,,FALSE,0.3825273460264599,18554,16352
Cape Breton Highlands-Canso,Nova Scotia,18740,17600,18073,201,Under_5000,1870,5000,,FALSE,0.35836953498428015,17600,18073
Cape Breton Highlands-Canso,Nova Scotia,18740,17600,18073,201,X5000_9999,3540,9999,,FALSE,0.35836953498428015,17600,18073
Cape Breton Highlands-Canso,Nova Scotia,18740,17600,18073,201,X10000_14999,3340,14999,,FALSE,0.35836953498428015,17600,18073
Cape Breton Highlands-Canso,Nova Scotia,18740,17600,18073,201,X15000_19999,2800,19999,,FALSE,0.35836953498428015,17600,18073
Cape Breton Highlands-Canso,Nova Scotia,18740,17600,18073,201,X20000_24999,2070,24999,,FALSE,0.35836953498428015,17600,18073
Cape Breton Highlands-Canso,Nova Scotia,18740,17600,18073,201,X25000_29999,1720,29999,,FALSE,0.35836953498428015,17600,18073
Cape Breton Highlands-Canso,Nova Scotia,18740,17600,18073,201,X30000_39999,1750,39999,,FALSE,0.35836953498428015,17600,18073
Cape Breton Highlands-Canso,Nova Scotia,18740,17600,18073,201,X40000_and_over,1220,Inf,,FALSE,0.35836953498428015,17600,18073
Cape Breton-East Richmond (Est),Nova Scotia,18450,19415,17435,201,Under_5000,1750,5000,,FALSE,0.4087879186950094,19415,17435
Cape Breton-East Richmond (Est),Nova Scotia,18450,19415,17435,201,X5000_9999,2765,9999,,FALSE,0.4087879186950094,19415,17435
Cape Breton-East Richmond (Est),Nova Scotia,18450,19415,17435,201,X10000_14999,2765,14999,,FALSE,0.4087879186950094,19415,17435
Cape Breton-East Richmond (Est),Nova Scotia,18450,19415,17435,201,X15000_19999,2415,19999,,FALSE,0.4087879186950094,19415,17435
Cape Breton-East Richmond (Est),Nova Scotia,18450,19415,17435,201,X20000_24999,2140,24999,,FALSE,0.4087879186950094,19415,17435
Cape Breton-East Richmond (Est),Nova Scotia,18450,19415,17435,201,X25000_29999,1580,29999,,FALSE,0.4087879186950094,19415,17435
Cape Breton-East Richmond (Est),Nova Scotia,18450,19415,17435,201,X30000_39999,1180,39999,,FALSE,0.4087879186950094,19415,17435
Cape Breton-East Richmond (Est),Nova Scotia,18450,19415,17435,201,X40000_and_over,900,Inf,,FALSE,0.4087879186950094,19415,17435
Cape Breton-The Sydneys,Nova Scotia,19415,20137,19187,217,Under_5000,2240,5000,,FALSE,0.4023509108656057,20137,19187
Cape Breton-The Sydneys,Nova Scotia,19415,20137,19187,217,X5000_9999,3040,9999,,FALSE,0.4023509108656057,20137,19187
Cape Breton-The Sydneys,Nova Scotia,19415,20137,19187,217,X10000_14999,3225,14999,,FALSE,0.4023509108656057,20137,19187
Cape Breton-The Sydneys,Nova Scotia,19415,20137,19187,217,X15000_19999,3520,19999,,FALSE,0.4023509108656057,20137,19187
Cape Breton-The Sydneys,Nova Scotia,19415,20137,19187,217,X20000_24999,2500,24999,,FALSE,0.4023509108656057,20137,19187
Cape Breton-The Sydneys,Nova Scotia,19415,20137,19187,217,X25000_29999,1955,29999,,FALSE,0.4023509108656057,20137,19187
Cape Breton-The Sydneys,Nova Scotia,19415,20137,19187,217,X30000_39999,1865,39999,,FALSE,0.4023509108656057,20137,19187
Cape Breton-The Sydneys,Nova Scotia,19415,20137,19187,217,X40000_and_over,1365,Inf,,FALSE,0.4023509108656057,20137,19187
Central Nova,Nova Scotia,20545,16264,16264,188,Under_5000,2240,5000,,TRUE,0.3515639292869748,16264,16264
Central Nova,Nova Scotia,20545,16264,16264,188,X5000_9999,4050,9999,,TRUE,0.3515639292869748,16264,16264
Central Nova,Nova Scotia,20545,16264,16264,188,X10000_14999,3825,14999,,TRUE,0.3515639292869748,16264,16264
Central Nova,Nova Scotia,20545,16264,16264,188,X15000_19999,3520,19999,,TRUE,0.3515639292869748,16264,16264
Central Nova,Nova Scotia,20545,16264,16264,188,X20000_24999,3000,24999,,TRUE,0.3515639292869748,16264,16264
Central Nova,Nova Scotia,20545,16264,16264,188,X25000_29999,1985,29999,,TRUE,0.3515639292869748,16264,16264
Central Nova,Nova Scotia,20545,16264,16264,188,X30000_39999,1850,39999,,TRUE,0.3515639292869748,16264,16264
Central Nova,Nova Scotia,20545,16264,16264,188,X40000_and_over,1185,Inf,,TRUE,0.3515639292869748,16264,16264
Cumberland-Colchester,Nova Scotia,26365,17913,15345,166,Under_5000,3070,5000,,FALSE,0.38553954526085,17913,15345
Cumberland-Colchester,Nova Scotia,26365,17913,15345,166,X5000_9999,5155,9999,,FALSE,0.38553954526085,17913,15345
Cumberland-Colchester,Nova Scotia,26365,17913,15345,166,X10000_14999,6610,14999,,FALSE,0.38553954526085,17913,15345
Cumberland-Colchester,Nova Scotia,26365,17913,15345,166,X15000_19999,4215,19999,,FALSE,0.38553954526085,17913,15345
