FED,Province_Territory,All_Households,Under_5000,5000_9999,10000_14999,15000_19999,20000_24999,25000_29999,30000_39999,40000_and_over,Avg_Income,Median_Income,SE_Avg_Income,Avg_Value_Dwelling,Less_than_Grade9,Grades9_13_no_cert,Grades9_13_with_cert,Trades_cert,Other_nonuniv_no_cert,Other_nonuniv_with_cert,Univ_no_degree,Univ_with_degree
Canada,Canada,8281535,629500,1116830,1051130,1041280,1060530,910505,1259305,1212460,24460,21304,15,73955,,,,,,,,
Newfoundland - Terre-Neuve,Newfoundland,148420,12745,22500,22640,22465,20335,15620,18320,13595,21198,18584,81,40305,,,,,,,,
Bonavista-Trinity-Conception,Newfoundland,20700,2190,4415,4020,3340,2650,1540,1555,985,17227,14622,172,33033,20110,15490,6040,960,1420,6095,2760,1415
Burin-St. George's (Saint-Georges),Newfoundland,15745,1325,2775,2615,2945,2395,1435,1515,750,18649,16956,205,26576,18070,11345,3805,1060,1010,4955,1870,950
Gander-Twillingate,Newfoundland,20045,1665,3945,3665,3515,2510,1745,1795,1100,18301,15511,177,29852,19765,15760,5765,955,1230,6240,2730,1430
Grand Falls-White Bay-Labrador,Newfoundland,19635,1115,2050,2540,2870,2775,3055,2365,2838,23938,20417,220,32309,16515,15175,5590,1395,1355,7110,3355,2285
Humber-Port au Port-St. Barbe (Sainte-Barbe),Newfoundland,20510,1990,3185,3220,2945,2800,2235,2475,1665,20417,18081,205,37745,17715,16135,5730,1360,1585,7050,4020,2260
St. John's East (Saint-Jean-Est),Newfoundland,25670,2320,3035,3095,3160,3325,2800,3945,3995,25065,21918,248,63656,13165,19515,6615,1285,2770,10380,8060,6335
St. John's West (Saint-Jean-Ouest),Newfoundland,26115,2140,3195,3485,3690,3695,3085,3980,2840,22861,20728,201,52817,15420,21090,6795,1340,2620,10885,6555,3775
Prince Edward Island - Île-du-Prince-Édouard,PEI,37660,3460,6920,6745,4595,4220,3645,3815,2600,19338,16392,154,40230,,,,,,,,
Cardigan,PEI,9350,855,1700,1765,1430,1130,985,930,550,18721,16130,279,38394,5810,7520,1880,560,905,3065,2160,1220
Egmont,PEI,9055,925,1960,1805,1385,995,720,775,485,17866,14434,319,33334,7170,7105,2010,600,675,2355,1605,960
Hillsborough,PEI,9460,925,1630,1525,1320,1080,995,1005,985,20968,17294,341,54869,3210,5940,1790,530,1315,3270,3050,2035
Malpeque,PEI,9795,755,1630,1655,1740,1390,950,1105,580,19711,17669,285,38594,5180,7990,1860,690,1175,3710,2185,1295
Nova Scotia - Nouvelle-Écosse,Nova Scotia,273190,25075,43500,43475,41620,37295,28065,31340,22825,20476,17894,58,42995,,,,,,,,
Annapolis Valley-Hants,Nova Scotia,26600,2650,4925,4925,4610,3500,2405,1870,1470,18554,16352,167,41235,13085,21465,4625,2240,2665,9970,4180,3685
Cape Breton Highlands-Canso,Nova Scotia,18740,1870,3540,3340,2800,2070,1720,1750,1220,17600,18073,201,33795,11495,16950,3335,1385,1355,6365,3160,3280
Cape Breton-East Richmond (Est),Nova Scotia,18450,1750,2765,2930,2740,2040,1885,1885,1180,19415,17435,201,32712,11425,17975,3570,1860,1575,6635,3060,1860
Cape Breton-The Sydneys,Nova Scotia,19415,2240,3040,3225,3520,2500,1955,1865,1365,20137,19187,217,37238,10880,18300,3685,1705,1665,6120,4265,2735
Central Nova,Nova Scotia,20545,2240,3825,3265,3520,2660,1935,1905,1185,18501,16264,188,34041,11250,18225,3505,1835,1670,6715,2825,1950
Cumberland-Colchester,Nova Scotia,25365,3070,5155,4610,4215,3230,2315,2305,1470,17913,15345,166,35863,11820,22020,5385,2235,2200,8890,4100,2970
Dartmouth-Halifax East (Est),Nova Scotia,31685,2210,3145,3780,4345,4685,4015,5485,4035,24057,22462,170,54480,9105,24420,6590,2990,3125,14300,7435,6585
Halifax,Nova Scotia,29225,3090,4440,3655,3945,3480,2710,3450,3455,27852,22179,227,75863,8655,16395,4845,1690,2330,8825,7965,11180
