FED,Province_Territory,All_Households,Under_5000,5000_9999,10000_14999,15000_19999,20000_24999,25000_29999,30000_39999,40000_and_over,Avg_Income,Median_Income,SE_Avg_Income
Canada,Canada,8281535,629500,1116830,1051130,1041280,1060530,910505,1259305,1212460,24460,21304,15
Newfoundland - Terre-Neuve,Newfoundland,148420,12745,22500,22640,22465,20335,15620,18320,13595,21198,18584,81
Bonavista-Trinity-Conception,Newfoundland,20700,2190,4415,4020,3340,2650,1540,1555,985,17227,14622,172
Burin-St. George's (Saint-Georges),Newfoundland,15745,1325,2775,2615,2945,2395,1435,1515,750,18649,16956,205
Gander-Twillingate,Newfoundland,20045,1665,3945,3665,3515,2510,1745,1795,1100,18301,15511,177
Grand Falls-White Bay-Labrador,Newfoundland,19635,1115,2050,2540,2870,2775,3055,2365,2838,23938,20417,220
Humber-Port au Port-St. Barbe (Sainte-Barbe),Newfoundland,20510,1990,3185,3220,2800,2235,2475,1665,1115,20417,18081,205
St. John's East (Saint-Jean-Est),Newfoundland,25670,2320,3035,3095,3785,5235,2800,3945,3995,25065,21918,248
St. John's West (Saint-Jean-Ouest),Newfoundland,26115,2140,3195,3485,3785,5120,3080,3980,2840,22861,20728,201
Prince Edward Island - Île-du-Prince-Édouard,PEI,37660,3460,6920,6745,4595,4220,3645,3815,2600,19338,16392,154
Cardigan,PEI,9350,855,1700,1765,1430,1130,985,930,550,18721,16130,279
Egmont,PEI,9055,925,1960,1805,1385,995,720,775,485,17866,14434,319
Hillsborough,PEI,9460,925,1630,1525,1320,1080,995,1005,985,20968,17294,341
Malpeque,PEI,9795,755,1630,1655,1740,1390,950,1105,580,19711,17669,285
Nova Scotia - Nouvelle-Écosse,Nova Scotia,273190,25075,43500,43475,41620,37295,28065,31340,22825,20476,17894,58
Annapolis Valley-Hants,Nova Scotia,26600,2650,4925,4925,4610,3500,2405,1870,1470,18554,16352,167
Cape Breton Highlands-Canso,Nova Scotia,18740,1870,3540,3340,2800,2070,1720,1750,1220,17600,18073,201
Cape Breton-East Richmond (Est),Nova Scotia,18450,1750,2765,2765,2415,2140,1580,1180,900,19415,17435,201
Cape Breton-The Sydneys,Nova Scotia,19415,2240,3040,3225,3520,2500,1955,1865,1365,20137,19187,217
Central Nova,Nova Scotia,20545,2240,4050,3825,3520,3000,1985,1850,1185,16264,16264,188
Cumberland-Colchester,Nova Scotia,26365,3070,5155,6610,4215,3230,2315,2305,1470,17913,15345,166
Dartmouth-Halifax East (Est),Nova Scotia,31685,2210,3145,3780,4345,4685,4015,5485,4035,24057,22462,170
Halifax,Nova Scotia,29225,3090,4440,3655,3945,3480,2710,3450,3455,27852,22179,227
Halifax West (Ouest),Nova Scotia,33350,1845,3920,4020,4670,5445,4385,5355,4595,24971,22733,179
South Shore,Nova Scotia,25685,2160,4605,4505,4280,3565,2580,2390,1530,16862,18128,173
New Brunswick - Nouveau-Brunswick,New Brunswick,,,,,,,,,,,,
South West Nova,Nova Scotia,23135,2295,4950,4580,3650,2820,1765,1840,1230,17719,14682,186
Carleton-Charlotte,New Brunswick,21250,2125,4105,4105,3240,2680,2075,1915,1175,15727,16234,179
Fundy-Royal,New Brunswick,26635,2250,4050,3855,3840,4260,3010,3710,2455,21455,19244,179
Gloucester,New Brunswick,19570,1835,3535,3235,3120,2390,1765,1980,1365,19471,16206,208
Madawaska-Victoria,New Brunswick,17185,1890,3535,3110,2650,2095,1530,1460,810,17185,15084,207
Moncton,New Brunswick,30010,2740,4115,4350,4355,4260,3350,4140,2710,21380,19382,187
Northumberland-Miramichi,New Brunswick,15725,1605,3070,2920,2700,1870,1400,1410,750,17783,15476,200
Restigouche,New Brunswick,15665,1390,2595,2670,2330,2135,1655,1675,1205,19056,17450,232
Saint John (Saint-Jean),New Brunswick,23600,2145,3885,3560,3190,2590,2495,3055,2290,18495,18495,216
Westmorland-Kent,New Brunswick,17770,1410,3440,3275,2970,2305,1695,1595,955,18486,16030,202
York-Sunbury,New Brunswick,27500,1955,3590,3315,3590,4095,3280,3930,2025,22340,20292,185
Quebec,Quebec,2172855,204925,302025,286630,292345,285890,231150,298425,271460,23869,20007,29
Abitibi,Quebec,28465,2715,3335,3180,4010,4440,3960,4260,4125,23954,21523,209
Argenteuil-Papineau,Quebec,22050,2165,3765,3550,3110,2545,1810,2465,1810,19917,17126,204
Beauce,Quebec,23865,2005,3595,3755,3895,3295,2225,2700,1995,20471,17735,202
Beauharnois-Salaberry,Quebec,25690,2330,4080,3710,3415,3510,2785,3295,2330,20644,18466,184
Bellechasse,Quebec,23550,2345,4445,4300,3745,2920,1770,2245,1805,19090,15801,200
Berthier-Maskinongé-Lanaudière,Quebec,22750,2310,4310,3885,3350,3075,2065,2245,1590,18969,16077,198
Blainville-Deux-Montagnes,Quebec,34970,2225,3445,3505,4340,5265,4515,5330,6734,25576,23639,181
Bonaventure-Îles-de-la-Madeleine,Quebec,16430,1345,3200,2895,2215,2080,1555,1705,1445,19922,16526,234
Bourassa,Quebec,34725,3460,5285,4920,4170,4885,3705,4370,1445,23001,18752,161
Chambly,Quebec,33905,2110,4105,3825,5050,4885,4700,6450,2000,25143,25143,197
Champlain,Quebec,25850,2635,3825,3825,4440,4170,3805,3605,2000,20150,20180,194
Charlesbourg,Quebec,40955,2110,3445,3505,4340,5865,4700,6450,6775,26791,25080,153
Charlevoix,Quebec,20260,1540,3040,3055,2930,2905,1935,2665,2475,21635,19209,214
Châteauguay,Quebec,27760,1715,2725,3725,3835,4135,3755,5030,3895,24754,23398,179
Chicoutimi,Quebec,20350,2060,2275,2275,3070,3060,2255,2785,2475,22740,20608,283
Dollard,Quebec,36970,1825,1850,3705,4325,4535,4410,6970,8340,29322,26123,213
Drummond,Quebec,24725,2635,4110,3505,3715,3540,2210,2385,2025,17002,17002,211
Duvernay,Quebec,31195,1390,2350,2350,3410,4045,5910,6505,6505,26411,28750,212
Frontenac,Quebec,21380,1665,3345,2280,3305,2385,1755,1925,1925,21380,19535,207
Gamelin,Quebec,33110,3065,4820,4520,4525,3970,2700,3920,3920,26015,23896,195
Gaspé,Quebec,16285,1200,2675,2495,2445,2105,1465,1710,1710,21422,18551,239
Gatineau,Quebec,30490,2315,3670,3820,3955,3785,2235,5335,2235,22825,24128,202
Hochelaga-Maisonneuve,Quebec,28580,4910,5910,4560,4160,3255,2130,2340,1325,16197,13635,149
Hull,Quebec,29420,2810,3765,3595,3535,3710,2130,4260,4515,24064,20902,252
Joliette,Quebec,37985,1965,2920,2920,4985,3810,2990,3610,8150,29509,26260,213
Jonquière,Quebec,20610,1815,2385,2510,2735,3375,2425,2980,2155,22519,21064,205
Kamouraska-Rivière-du-Loup,Quebec,21640,2250,4280,3470,3185,2610,1825,1695,1695,19385,16228,212
La Prairie,Quebec,37985,1965,2920,4985,3985,3810,2990,3610,8150,29509,26260,213
Labelle,Quebec,32090,3445,5000,4985,4870,2990,2505,3225,3225,20858,18097,209
Lac-Saint-Jean,Quebec,21555,1820,2500,2845,3175,3615,3210,3610,1810,22264,20419,288
Lachine,Quebec,28755,1350,3175,3610,3390,3835,3610,4640,6150,32348,26316,301
Langelier,Quebec,29350,5035,6070,3045,3615,4535,1925,2880,2250,18217,13806,219
LaSalle,Quebec,34195,2850,5410,4410,4875,4955,4075,5465,3045,22820,21054,162
Laurier,Quebec,27980,5630,5930,4580,3640,3015,2025,1895,1265,15346,12406,153
Laval,Quebec,35915,2010,2680,2415,4355,5155,4750,4725,6335,27457,25341,197
Laval-des-Rapides,Quebec,35390,4335,4485,3415,4425,4285,3840,5720,5175,24961,21557,214
Lévis,Quebec,35810,2985,3925,4000,4700,5350,4695,6235,4535,24377,22540,175
Longueuil,Quebec,45320,4400,5625,5985,6760,6155,6205,6205,4940,21909,19918,144
Lotbinière,Quebec,25300,2215,4035,3950,3825,3625,2900,2185,2185,20851,20851,207
Louis-Hébert,Quebec,35470,2070,2965,3485,3990,5530,6105,6105,5175,30567,24563,266
Manicouagan,Quebec,23920,1530,2100,2730,3090,3290,3810,3810,4640,27318,26302,218
Matapédia-Matane,Quebec,17770,1795,3055,3045,2790,1500,1425,1695,1425,15469,15469,218
Mégantic-Compton-Stanstead,Quebec,24985,2635,4155,4160,3780,3440,2280,2660,1865,19530,16876,193
Missisquoi,Quebec,24515,1680,4010,3975,3495,3470,2515,2765,1930,20149,17911,195
Montmorency-Orléans,Quebec,26070,2805,2825,3415,3410,3935,3350,4030,3305,24675,22595,315
Montréal-Mercier,Quebec,30800,2670,3775,3480,4245,4435,3795,5055,3885,23550,21817,171
Montréal-Sainte-Marie,Quebec,29555,5490,6695,4575,4220,3020,2105,2180,1265,15551,12782,156
Mount Royal,Quebec,23665,880,1715,2260,2390,2430,2290,3725,8515,40304,29898,312
Notre-Dame-de-Grâce-Lachine,Quebec,33720,3150,4645,4050,4800,4650,3345,3000,9225,33720,22311,625
Outremont,Quebec,32865,4635,5510,4385,3120,3780,3130,4100,4100,23313,21143,410
Papineau,Quebec,30070,4635,6300,3125,3900,3780,3130,4100,4100,18321,17596,182
Pontiac-Gatineau-Labelle,Quebec,21890,1820,3630,3630,2410,1820,1040,2410,2410,20080,16491,199
Portneuf,Quebec,25780,1870,3340,3390,3755,3135,3550,3225,2595,22107,20484,172
Québec-Est,Quebec,28990,3770,4600,4430,4430,4140,2650,3130,2185,19059,16834,169
Richelieu,Quebec,25510,2385,3805,3370,3585,3155,3470,3225,2785,22003,20115,210
Richmond-Wolfe,Quebec,20130,1790,3500,2860,2780,2130,2130,2470,1470,20084,18442,202
Rimouski-Témiscouata,Quebec,23800,2170,4070,3590,3240,2425,2425,3225,2195,20994,18095,203
Roberval,Quebec,19310,1585,2650,2650,3245,2720,1890,1740,1740,21377,18743,242
Rosemont,Quebec,31040,4375,5645,5430,4625,4525,2835,3015,1740,15679,15579,156
Saint-Denis,Quebec,33275,4275,5430,3955,5055,5015,2920,3410,2480,16160,16160,155
Saint-Henri-Westmount,Quebec,34980,3255,4525,4115,3605,3725,3490,9390,2935,22410,22410,430
Saint-Hyacinthe-Bagot,Quebec,27665,2420,4000,4255,4110,3605,3210,3605,2935,18729,18729,203
Saint-Jacques,Quebec,33260,7615,7795,5365,4120,2850,1875,1975,1660,14824,10969,164
Saint-Jean,Quebec,29480,2710,4110,4035,4405,4090,3275,3635,2625,22062,19399,255
Saint-Léonard-Anjou,Quebec,42410,2985,4825,4625,5965,6075,5310,7495,6085,26915,24919,155
Saint-Maurice,Quebec,23785,2670,3980,3475,3230,3545,2615,2460,1810,17662,17937,188
Saint-Michel,Quebec,29195,5480,4235,4215,4285,3725,3105,3600,3080,21345,18753,185
Shefford,Quebec,31490,2345,4380,3760,5000,4690,3730,3805,2765,21432,20294,176
Sherbrooke,Quebec,29265,3795,5150,3690,4405,4000,2650,3220,2895,20284,16548,153
Témiscamingue,Quebec,24940,2695,2695,3255,3255,3220,2670,3150,3150,21421,18856,203
Terrebonne,Quebec,40405,2305,3565,3860,5175,5935,5450,7830,9285,29241,25241,147
Trois-Rivières,Quebec,25820,2105,3580,3580,4555,4550,3805,3895,2550,20665,17666,213
Vaudreuil,Quebec,39875,2270,3370,3550,4470,5235,4980,7980,8030,28332,25932,197
Verchères,Quebec,37085,2270,2710,2975,3785,5120,5110,5785,8030,28725,25932,193
Verdun-Saint-Paul,Quebec,30830,4230,4935,4635,4470,3815,2790,3475,7735,19490,16827,174
Ontario,Ontario,2969785,187810,375560,356190,360095,387775,344315,489690,468345,25577,22553,26
Algoma,Ontario,24805,1810,3270,2650,2775,3675,3175,4220,3120,23709,22599,212
Beaches,Ontario,27130,1885,3670,3815,3280,2900,2900,4405,3510,23792,21486,195
Brampton-Georgetown,Ontario,50905,3640,5030,6045,6580,8560,6890,7555,13230,30465,29403,151
Brant,Ontario,36080,1450,5130,5130,3425,4530,5520,5045,7735,22845,23177,220
Broadview-Greenwood,Ontario,26770,2190,3505,4580,3820,3375,2860,3375,3375,22845,22499,201
Bruce-Grey,Ontario,26415,4765,4005,3995,3215,3000,2260,2375,2375,20594,19258,242
Burlington,Ontario,37885,1195,2675,2870,3580,4680,4645,8710,9535,31673,29209,221
Cambridge,Ontario,27010,1460,1580,3255,3610,4410,3885,4240,3905,23501,21901,215
Cochrane-Superior (Supérieur),Ontario,18815,1305,1535,1535,2035,2715,2565,3540,3100,25911,24396,250
Davenport,Ontario,21775,1435,2740,3010,3440,3185,2725,3010,2225,22381,20366,198
Don Valley East (Est),Ontario,36035,1295,2390,3180,3340,4495,3925,6380,11450,35480,29754,308
Don Valley West (Ouest),Ontario,39350,1440,3735,5065,5400,4380,4380,6485,10130,45925,34279,694
Durham-Northumberland,Ontario,21315,735,1700,2200,2740,3460,3225,2860,5815,26185,24728,217
Eglinton-Lawrence,Ontario,32090,1790,3735,3940,3175,4970,4020,4760,8500,25101,23158,344
Elgin,Ontario,23495,1555,3225,3805,3380,2630,2500,2340,2340,23514,22102,238
Erie,Ontario,23610,1500,3535,3090,3435,3055,3420,3420,2805,21249,21249,268
Essex-Kent,Ontario,23915,890,3655,3115,3120,3345,2740,3450,3045,24075,20864,283
Essex-Windsor,Ontario,33225,1985,3625,3265,4045,4495,4130,6305,5400,26178,23977,209
Etobicoke Centre,Ontario,36465,1035,2060,2960,3535,3550,3920,7200,12215,36823,31670,325
Etobicoke North (Nord),Ontario,35550,1805,2765,3010,3645,4285,4810,7985,7985,29458,27413,207
Etobicoke-Lakeshore,Ontario,33925,1940,4555,4435,4585,4285,3905,5295,5010,24362,21602,197
Glengarry-Prescott-Russell,Ontario,25320,1605,3325,3210,3210,2980,2980,3060,5410,23642,21007,228
Grey-Simcoe,Ontario,26110,2110,5030,4385,3780,3260,2775,2885,2075,18713,19825,203
Guelph,Ontario,29295,1945,3545,3635,3770,4020,4235,4235,4425,24994,25609,251
Haldimand-Norfolk,Ontario,30110,1930,2420,3960,4240,4095,3770,4095,6070,25037,22491,277
Halton,Ontario,36735,1405,1405,3130,4095,3770,3500,4205,10150,35239,31808,412
Hamilton East (Est),Ontario,27740,2090,4725,3890,3860,4145,3175,3740,2100,20478,19226,165
Hamilton Mountain,Ontario,31435,1545,3355,3440,3540,4280,4145,6285,4820,26072,24426,219
Hamilton West (Ouest),Ontario,37345,1395,7850,5270,5065,4495,3405,3075,4820,19635,16013,208
Hamilton-Wentworth,Ontario,27205,900,2120,2245,3035,3685,3915,5920,5385,29471,25813,277
Hastings-Frontenac-Lennox and Addington (et),Ontario,22530,1710,4095,3560,3340,3135,2355,2780,1450,19744,17784,208
Huron-Bruce,Ontario,22685,1755,4375,3710,3175,2240,2240,2625,1990,20492,17318,242
