"Geo Code","Geo Name","Line Number"
"2021A000011124","Canada",2
"2021A000210","Newfoundland and Labrador",2633
"2023A000410001","Avalon",5264
"2023A000410002","Cape Spear",7895
"2023A000410003","Central Newfoundland",10526
"2023A000410004","Labrador",13157
"2023A000410005","Long Range Mountains",15788
"2023A000410006","St. John's East",18419
"2023A000410007","Terra Nova--The Peninsulas",21050
"2021A000211","Prince Edward Island",23681
"2023A000411001","Cardigan",26312
"2023A000411002","Charlottetown",28943
"2023A000411003","Egmont",31574
"2023A000411004","Malpeque",34205
"2021A000212","Nova Scotia",36836
"2023A000412001","Acadie--Annapolis",39467
"2023A000412002","Cape Breton--Canso--Antigonish",42098
"2023A000412003","Central Nova",44729
"2023A000412004","Cumberland--Colchester",47360
"2023A000412005","Dartmouth--Cole Harbour",49991
"2023A000412006","Halifax",52622
"2023A000412007","Halifax West",55253
"2023A000412008","Kings--Hants",57884
"2023A000412009","Sackville--Bedford--Preston",60515
"2023A000412010","South Shore--St. Margarets",63146
"2023A000412011","Sydney--Glace Bay",65777
"2021A000213","New Brunswick",68408
"2023A000413001","Acadie--Bathurst",71039
"2023A000413002","Beauséjour",73670
"2023A000413003","Fredericton--Oromocto",76301
"2023A000413004","Fundy Royal",78932
"2023A000413005","Madawaska--Restigouche",81563
"2023A000413006","Miramichi--Grand Lake",84194
"2023A000413007","Moncton--Dieppe",86825
"2023A000413008","Saint John--Kennebecasis",89456
"2023A000413009","Saint John--St. Croix",92087
"2023A000413010","Tobique--Mactaquac",94718
"2021A000224","Quebec",97349
"2023A000424001","Abitibi--Baie-James--Nunavik--Eeyou",99980
"2023A000424002","Abitibi--Témiscamingue",102611
"2023A000424003","Ahuntsic-Cartierville",105242
"2023A000424004","Alfred-Pellan",107873
"2023A000424005","Argenteuil--La Petite-Nation",110504
"2023A000424006","Beauce",113135
"2023A000424007","Beauharnois--Salaberry--Soulanges--Huntingdon",115766
"2023A000424008","Beauport--Limoilou",118397
"2023A000424009","Bécancour--Nicolet--Saurel--Alnôbak",121028
"2023A000424010","Bellechasse--Les Etchemins--Lévis",123659
"2023A000424011","Beloeil--Chambly",126290
"2023A000424012","Berthier--Maskinongé",128921
"2023A000424013","Bourassa",131552
"2023A000424014","Brome--Missisquoi",134183
"2023A000424015","Brossard--Saint-Lambert",136814
"2023A000424016","Charlesbourg--Haute-Saint-Charles",139445
"2023A000424017","Châteauguay--Les Jardins-de-Napierville",142076
"2023A000424018","Chicoutimi--Le Fjord",144707
"2023A000424019","Compton--Stanstead",147338
"2023A000424020","Côte-du-Sud--Rivière-du-Loup--Kataskomiq--Témiscouata",149969
"2023A000424021","Côte-Nord--Kawawachikamach--Nitassinan",152600
"2023A000424022","Dorval--Lachine--LaSalle",155231
"2023A000424023","Drummond",157862
"2023A000424024","Gaspésie--Les Îles-de-la-Madeleine--Listuguj",160493
"2023A000424025","Gatineau",163124
"2023A000424026","Hochelaga--Rosemont-Est",165755
"2023A000424027","Honoré-Mercier",168386
"2023A000424028","Hull--Aylmer",171017
"2023A000424029","Joliette--Manawan",173648
"2023A000424030","Jonquière",176279
"2023A000424031","La Pointe-de-l'Île",178910
"2023A000424032","La Prairie--Atateken",181541
"2023A000424033","Lac-Saint-Jean",184172
"2023A000424034","Lac-Saint-Louis",186803
"2023A000424035","LaSalle--Émard--Verdun",189434
"2023A000424036","Laurentides--Labelle",192065
"2023A000424037","Laurier--Sainte-Marie",194696
"2023A000424038","Laval--Les Îles",197327
"2023A000424039","Les Pays-d'en-Haut",199958
"2023A000424040","Lévis--Lotbinière",202589
"2023A000424041","Longueuil--Charles-LeMoyne",205220
"2023A000424042","Longueuil--Saint-Hubert",207851
"2023A000424043","Louis-Hébert",210482
"2023A000424044","Louis-Saint-Laurent--Akiawenhrahk",213113
"2023A000424045","Marc-Aurèle-Fortin",215744
"2023A000424046","Mégantic--L’Érable--Lotbinière",218375
"2023A000424047","Mirabel",221006
"2023A000424048","Mount Royal",223637
"2023A000424049","Mont-Saint-Bruno--L’Acadie",226268
"2023A000424050","Montcalm",228899
"2023A000424051","Montmorency--Charlevoix",231530
"2023A000424052","Notre-Dame-de-Grâce--Westmount",234161
"2023A000424053","Outremont",236792
"2023A000424054","Papineau",239423
"2023A000424055","Pierre-Boucher--Les Patriotes--Verchères",242054
"2023A000424056","Pierrefonds--Dollard",244685
"2023A000424057","Pontiac--Kitigan Zibi",247316
"2023A000424058","Portneuf--Jacques-Cartier",249947
"2023A000424059","Québec Centre",252578
"2023A000424060","Repentigny",255209
"2023A000424061","Richmond--Arthabaska",257840
"2023A000424062","Rimouski--La Matapédia",260471
"2023A000424063","Rivière-des-Mille-Îles",263102
"2023A000424064","Rivière-du-Nord",265733
"2023A000424065","Rosemont--La Petite-Patrie",268364
"2023A000424066","Saint-Hyacinthe--Bagot--Acton",270995
"2023A000424067","Saint-Jean",273626
"2023A000424068","Saint-Laurent",276257
"2023A000424069","Saint-Léonard--Saint-Michel",278888
"2023A000424070","Saint-Maurice--Champlain",281519
"2023A000424071","Shefford",284150
"2023A000424072","Sherbrooke",286781
"2023A000424073","Terrebonne",289412
"2023A000424074","Thérèse-De Blainville",292043
"2023A000424075","Trois-Rivières",294674
"2023A000424076","Vaudreuil",297305
"2023A000424077","Ville-Marie--Le Sud-Ouest--Île-des-Sœurs",299936
"2023A000424078","Vimy",302567
"2021A000235","Ontario",305198
"2023A000435001","Ajax",307829
"2023A000435002","Algonquin--Renfrew--Pembroke",310460
"2023A000435003","Aurora--Oak Ridges--Richmond Hill",313091
"2023A000435004","Barrie South--Innisfil",315722
"2023A000435005","Barrie--Springwater--Oro-Medonte",318353
"2023A000435006","Bay of Quinte",320984
"2023A000435007","Beaches--East York",323615
"2023A000435008","Bowmanville--Oshawa North",326246
"2023A000435009","Brampton Centre",328877
"2023A000435010","Brampton--Chinguacousy Park",331508
"2023A000435011","Brampton East",334139
"2023A000435012","Brampton North--Caledon",336770
"2023A000435013","Brampton South",339401
"2023A000435014","Brampton West",342032
"2023A000435015","Brantford--Brant South--Six Nations",344663
"2023A000435016","Bruce--Grey--Owen Sound",347294
"2023A000435017","Burlington",349925
"2023A000435018","Burlington North--Milton West",352556
"2023A000435019","Cambridge",355187
"2023A000435020","Carleton",357818
"2023A000435021","Chatham-Kent--Leamington",360449
"2023A000435022","Davenport",363080
"2023A000435023","Don Valley North",365711
"2023A000435024","Don Valley West",368342
"2023A000435025","Dufferin--Caledon",370973
"2023A000435026","Eglinton--Lawrence",373604
"2023A000435027","Elgin--St. Thomas--London South",376235
"2023A000435028","Essex",378866
"2023A000435029","Etobicoke Centre",381497
"2023A000435030","Etobicoke--Lakeshore",384128
"2023A000435031","Etobicoke North",386759
"2023A000435032","Flamborough--Glanbrook--Brant North",389390
"2023A000435033","Guelph",392021
"2023A000435034","Haldimand--Norfolk",394652
"2023A000435035","Haliburton--Kawartha Lakes",397283
"2023A000435036","Hamilton Centre",399914
"2023A000435037","Hamilton East--Stoney Creek",402545
"2023A000435038","Hamilton Mountain",405176
"2023A000435039","Hamilton West--Ancaster--Dundas",407807
"2023A000435040","Hastings--Lennox and Addington--Tyendinaga",410438
"2023A000435041","Humber River--Black Creek",413069
"2023A000435042","Huron--Bruce",415700
"2023A000435043","Kanata",418331
"2023A000435044","Kapuskasing--Timmins--Mushkegowuk",420962
"2023A000435045","Kenora--Kiiwetinoong",423593
"2023A000435046","Kingston and the Islands",426224
"2023A000435047","King--Vaughan",428855
"2023A000435048","Kitchener Centre",431486
"2023A000435049","Kitchener--Conestoga",434117
"2023A000435050","Kitchener South--Hespeler",436748
"2023A000435051","Lanark--Frontenac",439379
"2023A000435052","Leeds--Grenville--Thousand Islands--Rideau Lakes",442010
"2023A000435053","London Centre",444641
"2023A000435054","London--Fanshawe",447272
"2023A000435055","London West",449903
"2023A000435056","Markham--Stouffville",452534
"2023A000435057","Markham--Thornhill",455165
"2023A000435058","Markham--Unionville",457796
"2023A000435059","Middlesex--London",460427
"2023A000435060","Milton East--Halton Hills South",463058
"2023A000435061","Mississauga Centre",465689
"2023A000435062","Mississauga East--Cooksville",468320
"2023A000435063","Mississauga--Erin Mills",470951
"2023A000435064","Mississauga--Lakeshore",473582
"2023A000435065","Mississauga--Malton",476213
"2023A000435066","Mississauga--Streetsville",478844
"2023A000435067","Nepean",481475
"2023A000435068","Newmarket--Aurora",484106
"2023A000435069","New Tecumseth--Gwillimbury",486737
"2023A000435070","Niagara Falls--Niagara-on-the-Lake",489368
"2023A000435071","Niagara South",491999
"2023A000435072","Niagara West",494630
"2023A000435073","Nipissing--Timiskaming",497261
"2023A000435074","Northumberland--Clarke",499892
"2023A000435075","Oakville East",502523
"2023A000435076","Oakville West",505154
"2023A000435077","Orléans",507785
"2023A000435078","Oshawa",510416
"2023A000435079","Ottawa Centre",513047
"2023A000435080","Ottawa South",515678
"2023A000435081","Ottawa--Vanier--Gloucester",518309
"2023A000435082","Ottawa West--Nepean",520940
"2023A000435083","Oxford",523571
"2023A000435084","Parry Sound--Muskoka",526202
"2023A000435085","Perth--Wellington",528833
"2023A000435086","Peterborough",531464
"2023A000435087","Pickering--Brooklin",534095
"2023A000435088","Prescott--Russell--Cumberland",536726
"2023A000435089","Richmond Hill South",539357
"2023A000435090","Sarnia--Lambton--Bkejwanong",541988
"2023A000435091","Sault Ste. Marie--Algoma",544619
"2023A000435092","Scarborough--Agincourt",547250
"2023A000435093","Scarborough Centre--Don Valley East",549881
"2023A000435094","Scarborough--Guildwood--Rouge Park",552512
"2023A000435095","Scarborough North",555143
"2023A000435096","Scarborough Southwest",557774
"2023A000435097","Scarborough--Woburn",560405
"2023A000435098","Simcoe--Grey",563036
"2023A000435099","Simcoe North",565667
"2023A000435100","Spadina--Harbourfront",568298
"2023A000435101","St. Catharines",570929
"2023A000435102","Stormont--Dundas--Glengarry",573560
"2023A000435103","Sudbury",576191
"2023A000435104","Sudbury East--Manitoulin--Nickel Belt",578822
"2023A000435105","Taiaiako'n--Parkdale--High Park",581453
"2023A000435106","Thornhill",584084
"2023A000435107","Thunder Bay--Rainy River",586715
"2023A000435108","Thunder Bay--Superior North",589346
"2023A000435109","Toronto Centre",591977
"2023A000435110","Toronto--Danforth",594608
"2023A000435111","Toronto--St. Paul's",597239
"2023A000435112","University--Rosedale",599870
"2023A000435113","Vaughan--Woodbridge",602501
"2023A000435114","Waterloo",605132
"2023A000435115","Wellington--Halton Hills North",607763
"2023A000435116","Whitby",610394
"2023A000435117","Willowdale",613025
"2023A000435118","Windsor--Tecumseh--Lakeshore",615656
"2023A000435119","Windsor West",618287
"2023A000435120","York Centre",620918
"2023A000435121","York--Durham",623549
"2023A000435122","York South--Weston--Etobicoke",626180
"2021A000246","Manitoba",628811
"2023A000446001","Brandon--Souris",631442
"2023A000446002","Churchill--Keewatinook Aski",634073
"2023A000446003","Elmwood--Transcona",636704
"2023A000446004","Kildonan--St. Paul",639335
"2023A000446005","Portage--Lisgar",641966
"2023A000446006","Provencher",644597
"2023A000446007","Riding Mountain",647228
"2023A000446008","St. Boniface--St. Vital",649859
"2023A000446009","Selkirk--Interlake--Eastman",652490
"2023A000446010","Winnipeg Centre",655121
"2023A000446011","Winnipeg North",657752
"2023A000446012","Winnipeg South",660383
"2023A000446013","Winnipeg South Centre",663014
"2023A000446014","Winnipeg West",665645
"2021A000247","Saskatchewan",668276
"2023A000447001","Battlefords--Lloydminster--Meadow Lake",670907
"2023A000447002","Carlton Trail--Eagle Creek",673538
"2023A000447003","Desnethé--Missinippi--Churchill River",676169
"2023A000447004","Moose Jaw--Lake Centre--Lanigan",678800
"2023A000447005","Prince Albert",681431
"2023A000447006","Regina--Lewvan",684062
"2023A000447007","Regina--Qu'Appelle",686693
"2023A000447008","Regina--Wascana",689324
"2023A000447009","Saskatoon South",691955
"2023A000447010","Saskatoon--University",694586
"2023A000447011","Saskatoon West",697217
"2023A000447012","Souris--Moose Mountain",699848
"2023A000447013","Swift Current--Grasslands--Kindersley",702479
"2023A000447014","Yorkton--Melville",705110
"2021A000248","Alberta",707741
"2023A000448001","Airdrie--Cochrane",710372
"2023A000448002","Battle River--Crowfoot",713003
"2023A000448003","Bow River",715634
"2023A000448004","Calgary Centre",718265
"2023A000448005","Calgary Confederation",720896
"2023A000448006","Calgary Crowfoot",723527
"2023A000448007","Calgary East",726158
"2023A000448008","Calgary Heritage",728789
"2023A000448009","Calgary McKnight",731420
"2023A000448010","Calgary Midnapore",734051
"2023A000448011","Calgary Nose Hill",736682
"2023A000448012","Calgary Shepard",739313
"2023A000448013","Calgary Signal Hill",741944
"2023A000448014","Calgary Skyview",744575
"2023A000448015","Edmonton Centre",747206
"2023A000448016","Edmonton Gateway",749837
"2023A000448017","Edmonton Griesbach",752468
"2023A000448018","Edmonton Manning",755099
"2023A000448019","Edmonton Northwest",757730
"2023A000448020","Edmonton Riverbend",760361
"2023A000448021","Edmonton Southeast",762992
"2023A000448022","Edmonton Strathcona",765623
"2023A000448023","Edmonton West",768254
"2023A000448024","Foothills",770885
"2023A000448025","Fort McMurray--Cold Lake",773516
"2023A000448026","Grande Prairie",776147
"2023A000448027","Lakeland",778778
"2023A000448028","Leduc--Wetaskiwin",781409
"2023A000448029","Lethbridge",784040
"2023A000448030","Medicine Hat--Cardston--Warner",786671
"2023A000448031","Parkland",789302
"2023A000448032","Peace River--Westlock",791933
"2023A000448033","Ponoka--Didsbury",794564
"2023A000448034","Red Deer",797195
"2023A000448035","Sherwood Park--Fort Saskatchewan",799826
"2023A000448036","St. Albert--Sturgeon River",802457
"2023A000448037","Yellowhead",805088
"2021A000259","British Columbia",807719
"2023A000459001","Abbotsford--South Langley",810350
