GEO_NAME,Income,Gini,Category,Count,right_edges,gini_cdf,gini_original,error_pct,error_pct_squared
Avalon,96600,0.314,"Under $5,000",140,5000,0.3843502008008648,0.314,0.22404522548046113,0.05019626306059067
Avalon,96600,0.314,"$5,000 to $9,999",210,9999,0.3843502008008648,0.314,0.22404522548046113,0.05019626306059067
Avalon,96600,0.314,"$10,000 to $14,999",470,14999,0.3843502008008648,0.314,0.22404522548046113,0.05019626306059067
Avalon,96600,0.314,"$15,000 to $19,999",495,19999,0.3843502008008648,0.314,0.22404522548046113,0.05019626306059067
Avalon,96600,0.314,"$20,000 to $24,999",1895,24999,0.3843502008008648,0.314,0.22404522548046113,0.05019626306059067
Avalon,96600,0.314,"$25,000 to $29,999",1225,29999,0.3843502008008648,0.314,0.22404522548046113,0.05019626306059067
Avalon,96600,0.314,"$30,000 to $34,999",1475,34999,0.3843502008008648,0.314,0.22404522548046113,0.05019626306059067
Avalon,96600,0.314,"$35,000 to $39,999",1625,39999,0.3843502008008648,0.314,0.22404522548046113,0.05019626306059067
Avalon,96600,0.314,"$40,000 to $44,999",1395,44999,0.3843502008008648,0.314,0.22404522548046113,0.05019626306059067
Avalon,96600,0.314,"$45,000 to $49,999",1330,49999,0.3843502008008648,0.314,0.22404522548046113,0.05019626306059067
Avalon,96600,0.314,"$50,000 to $59,999",2460,59999,0.3843502008008648,0.314,0.22404522548046113,0.05019626306059067
Avalon,96600,0.314,"$60,000 to $69,999",2305,69999,0.3843502008008648,0.314,0.22404522548046113,0.05019626306059067
Avalon,96600,0.314,"$70,000 to $79,999",2300,79999,0.3843502008008648,0.314,0.22404522548046113,0.05019626306059067
Avalon,96600,0.314,"$80,000 to $89,999",2050,89999,0.3843502008008648,0.314,0.22404522548046113,0.05019626306059067
Avalon,96600,0.314,"$90,000 to $99,999",1885,99999,0.3843502008008648,0.314,0.22404522548046113,0.05019626306059067
Avalon,96600,0.314,"$100,000 to $124,999",3850,124999,0.3843502008008648,0.314,0.22404522548046113,0.05019626306059067
Avalon,96600,0.314,"$125,000 to $149,999",2845,149999,0.3843502008008648,0.314,0.22404522548046113,0.05019626306059067
Avalon,96600,0.314,"$150,000 to $199,999",3510,199999,0.3843502008008648,0.314,0.22404522548046113,0.05019626306059067
Avalon,96600,0.314,"$200,000 and over",2735,Inf,0.3843502008008648,0.314,0.22404522548046113,0.05019626306059067
